file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,92,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,17
style.css,93,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,13
style.css,94,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,30
style.css,95,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,19
style.css,96,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,97,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,0
style.css,98,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,12
style.css,99,css,b3f522fa,danielbirman28,2025-01-17,15:33:03,-08:00,2025-01-17T15:33:03-08:00,0,19
style.css,100,css,00cef6ff,danielbirman28,2025-01-17,11:47:25,-08:00,2025-01-17T11:47:25-08:00,0,0
style.css,101,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,0
style.css,102,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,10
style.css,103,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,13
style.css,104,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,59
style.css,105,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,8
style.css,106,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,0
style.css,107,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,0
style.css,108,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,18
style.css,109,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,13
style.css,110,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,27
style.css,111,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,16
style.css,112,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,8
style.css,113,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,0
style.css,114,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,0
style.css,115,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,13
style.css,116,css,65593961,danielbirman28,2025-01-17,16:54:27,-08:00,2025-01-17T16:54:27-08:00,0,9
style.css,117,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,118,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,119,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,3
style.css,120,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,15
style.css,121,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,122,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,123,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,23
style.css,124,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,16
